"ID","Name","Pref","Zipcode","Latitude","Longitude","Line","Station","Walk","Bus","Car","Budget","ScoreN","Score"
"gc77004","魚介系醤油ラーメン せたが屋 アクアシティお台場店","東京都",1350091,35.627819,139.773568,"ゆりかもめ","台場駅",1,NA,NA,900,0,NA
"gfrk804","麻布ラーメン 麻布十番店","東京都",1060045,35.656615,139.736467,"地下鉄南北線","麻布十番駅",4,NA,NA,1000,2,4
"gftn103","東京餃子楼 茶沢通り店","東京都",1540004,35.646013,139.670103,"東急世田谷線","三軒茶屋駅",4,NA,NA,2000,3,3
"gfs8000","SOBAHOUSE 金色不如帰","東京都",1600022,35.688771,139.708241,"地下鉄丸ノ内線","新宿御苑前駅",2,NA,NA,950,4,4.83333333333333
"e645906","珍味館 築地店","東京都",1040045,35.669673,139.773278,"地下鉄有楽町線","新富町駅",2,NA,NA,2500,0,NA
"gap9725","ふぐだし潮 八代目 けいすけ","東京都",1040061,35.672176,139.762441,"地下鉄丸ノ内線","銀座駅",2,NA,NA,1000,0,NA
"gfvy400","利尻昆布ラーメン くろおび","東京都",1050003,35.667726,139.752169,"ＪＲ","新橋駅",8,NA,NA,1000,0,NA
"gd1n633","中華そば 福味","東京都",1007090,35.6798,139.764877,"ＪＲ","東京駅",2,NA,NA,1000,0,NA
"gfsr800","船見坂","東京都",1040061,35.671414,139.769286,"地下鉄日比谷線","東銀座駅",3,NA,NA,999,5,3.83333333333333
"a092400","味丸","東京都",1400001,35.618165,139.742449,"京急本線","新馬場駅",1,NA,NA,1000,4,3.875
"gabc500","福津留","東京都",1000005,35.676989,139.761181,"JR","有楽町駅",5,NA,NA,4000,0,NA
"gbpe400","風雲児","東京都",1510053,35.686844,139.696649,"都営新宿線","新宿駅",2,NA,NA,800,17,3.88235294117647
"p879915","しゃぶしゃぶ温野菜 立川南口店","東京都",1900023,35.696769,139.414282,"ＪＲ","立川駅",1,NA,NA,3000,0,NA
"gbct700","らーめん潤 蒲田店","東京都",1440052,35.561796,139.718846,"ＪＲ京浜東北線","蒲田駅",3,NA,NA,1000,5,3.4
"gdv6152","ラーメン山岡家 瑞穂店","東京都",1901213,35.765089,139.354096,"ＪＲ八高線","箱根ケ崎駅",NA,NA,5,800,4,3.5
"e049601","半蔵門 中国料理 紅花","東京都",1020092,35.682797,139.741971,"地下鉄半蔵門線","半蔵門駅",1,NA,NA,2500,0,NA
"g095625","浅草聚楽","東京都",1110032,35.712188,139.793757,"地下鉄銀座線","浅草駅",8,NA,NA,1100,8,3.125
"gfux401","香港料理 萬来［マンライ］荻窪","東京都",1670051,35.699705,139.617419,"地下鉄丸ノ内線","荻窪駅",7,NA,NA,2000,2,4.75
"gfn3600","さつまっこ MEGAドンキホーテ大森山王店","東京都",1430023,35.583432,139.72368,"ＪＲ京浜東北線","大森駅",7,NA,NA,700,0,NA
"b446018","らーめん冠尾","東京都",1500021,35.647904,139.708541,"ＪＲ","恵比寿駅",1,NA,NA,900,0,NA
"gg5f416","東京豚骨拉麺ばんから 新宿歌舞伎町店","東京都",1600021,35.694153,139.701277,"西武新宿線","西武新宿駅",3,NA,NA,1000,0,NA
"a424601","胡椒饅頭 ＰＡＯＰＡＯ","東京都",1010032,35.694776,139.776019,"ＪＲ","秋葉原駅",5,NA,NA,3200,4,3.625
"gebm900","個室Asian Dining 2階のぞうさん 国分寺店","東京都",1850012,35.702445,139.480152,"ＪＲ中央線","国分寺駅",3,NA,NA,3000,0,NA
"gdup054","博多かわ串・高知餃子 酒場フタマタ 西新橋店","東京都",1050003,35.669017,139.754708,"都営三田線","内幸町駅",1,NA,NA,2700,0,NA
"gfn3601","さつまっこ 平和島店","東京都",1430011,35.57778,139.73739,"京急本線","平和島駅",5,NA,NA,700,1,3
"b912201","ラーメン居酒屋 久慈清商店","東京都",1530051,35.645368,139.698109,"東急東横線","中目黒駅",2,NA,NA,1500,5,3.3
"a263006","ほおずきや","東京都",1350063,35.630926,139.790565,"ゆりかもめ","国際展示場正門駅",2,NA,NA,3000,2,5
"gb1b600","慶賓楼 赤坂店","東京都",1070052,35.676871,139.736789,"地下鉄","赤坂見附駅",1,NA,NA,2000,0,NA
